,Date,Moon Phase,Year,dm,new_date
0,"Aug 1, Thu",New,2019,01.08,01.08.2019
1,"Aug 15, Thu",Full,2019,15.08,15.08.2019
2,"Aug 30, Fri",New,2019,30.08,30.08.2019
3,"Sep 13, Fri",Full,2019,13.09,13.09.2019
4,"Sep 28, Sat",New,2019,28.09,28.09.2019
5,"Oct 13, Sun",Full,2019,13.10,13.10.2019
6,"Oct 28, Mon",New,2019,28.10,28.10.2019
7,"Nov 12, Tue",Full,2019,12.11,12.11.2019
8,"Nov 26, Tue",New,2019,26.11,26.11.2019
9,"Dec 11, Wed",Full,2019,11.12,11.12.2019
10,"Dec 26, Thu",New,2019,26.12,26.12.2019
11,"Jan 10, Fri",Full,2020,10.01,10.01.2020
12,"Jan 24, Fri",New,2020,24.01,24.01.2020
13,"Feb 9, Sun",Full,2020,09.02,09.02.2020
14,"Feb 23, Sun",New,2020,23.02,23.02.2020
15,"Mar 9, Mon",Full,2020,09.03,09.03.2020
16,"Mar 23, Mon",New,2020,23.03,23.03.2020
17,"Apr 8, Wed",Full,2020,08.04,08.04.2020
18,"Apr 22, Wed",New,2020,22.04,22.04.2020
19,"May 7, Thu",Full,2020,07.05,07.05.2020
20,"May 22, Fri",New,2020,22.05,22.05.2020
21,"Jun 5, Fri",Full,2020,05.06,05.06.2020
22,"Jun 20, Sat",New,2020,20.06,20.06.2020
23,"Jul 5, Sun",Full,2020,05.07,05.07.2020
24,"Jul 20, Mon",New,2020,20.07,20.07.2020
25,"Aug 3, Mon",Full,2020,03.08,03.08.2020
26,"Aug 18, Tue",New,2020,18.08,18.08.2020
27,"Sep 2, Wed",Full,2020,02.09,02.09.2020
28,"Sep 17, Thu",New,2020,17.09,17.09.2020
29,"Oct 1, Thu",Full,2020,01.10,01.10.2020
30,"Oct 16, Fri",New,2020,16.10,16.10.2020
31,"Oct 31, Sat",Full,2020,31.10,31.10.2020
32,"Nov 14, Sat",New,2020,14.11,14.11.2020
33,"Nov 30, Mon",Full,2020,30.11,30.11.2020
34,"Dec 14, Mon",New,2020,14.12,14.12.2020
35,"Dec 30, Wed",Full,2020,30.12,30.12.2020
